provider_id,state,hospital_type,hospital_ownership,emergency_services,meets_criteria_for_meaningful_use_of_ehrs,hospital_overall_rating,mortality_national_comparison,safety_of_care_national_comparison,readmission_national_comparison,patient_experience_national_comparison,effectiveness_of_care_national_comparison,timeliness_of_care_national_comparison,efficient_use_of_medical_imaging_national_comparison
10001,AL,Acute Care Hospitals,Government - Hospital District or Authority,1,1,3,2.0,3.0,2.0,1.0,2.0,2.0,2.0
10005,AL,Acute Care Hospitals,Government - Hospital District or Authority,1,1,3,1.0,2.0,3.0,2.0,2.0,3.0,1.0
10006,AL,Acute Care Hospitals,Government - Hospital District or Authority,1,1,2,1.0,2.0,2.0,1.0,2.0,3.0,2.0
10007,AL,Acute Care Hospitals,Voluntary non-profit - Private,1,1,2,2.0,,1.0,2.0,1.0,3.0,
10008,AL,Acute Care Hospitals,Proprietary,1,1,3,2.0,,2.0,,2.0,3.0,
10011,AL,Acute Care Hospitals,Voluntary non-profit - Private,1,1,2,2.0,1.0,2.0,1.0,1.0,2.0,2.0
10012,AL,Acute Care Hospitals,Proprietary,1,1,3,1.0,2.0,2.0,2.0,2.0,3.0,2.0
10016,AL,Acute Care Hospitals,Voluntary non-profit - Private,1,1,3,2.0,3.0,3.0,1.0,2.0,1.0,1.0
10018,AL,Acute Care Hospitals,Voluntary non-profit - Private,1,1,,,,,,2.0,2.0,
10019,AL,Acute Care Hospitals,Government - Hospital District or Authority,1,1,2,1.0,1.0,1.0,1.0,2.0,3.0,1.0
10021,AL,Acute Care Hospitals,Government - Hospital District or Authority,1,1,4,2.0,2.0,2.0,3.0,2.0,3.0,2.0
10022,AL,Acute Care Hospitals,Voluntary non-profit - Private,1,1,4,2.0,,2.0,3.0,2.0,2.0,
10023,AL,Acute Care Hospitals,Government - Hospital District or Authority,1,1,3,1.0,3.0,2.0,1.0,2.0,1.0,3.0
10024,AL,Acute Care Hospitals,Voluntary non-profit - Private,1,1,3,2.0,3.0,3.0,2.0,2.0,1.0,2.0
10029,AL,Acute Care Hospitals,Government - Hospital District or Authority,1,1,4,2.0,3.0,3.0,3.0,2.0,3.0,2.0
10056,AL,Acute Care Hospitals,Voluntary non-profit - Private,1,1,3,2.0,1.0,3.0,3.0,1.0,1.0,2.0
10032,AL,Acute Care Hospitals,Government - Hospital District or Authority,1,1,4,2.0,,2.0,,2.0,2.0,
10033,AL,Acute Care Hospitals,Government - State,1,1,3,2.0,3.0,1.0,3.0,2.0,1.0,1.0
10034,AL,Acute Care Hospitals,Voluntary non-profit - Private,1,1,4,2.0,,2.0,2.0,2.0,2.0,
10035,AL,Acute Care Hospitals,Government - Hospital District or Authority,1,1,3,1.0,3.0,2.0,2.0,2.0,3.0,2.0
10036,AL,Acute Care Hospitals,Proprietary,1,1,3,2.0,1.0,1.0,1.0,2.0,3.0,2.0
10038,AL,Acute Care Hospitals,Proprietary,1,1,3,2.0,2.0,2.0,1.0,2.0,3.0,2.0
10039,AL,Acute Care Hospitals,Government - Hospital District or Authority,1,1,3,1.0,3.0,3.0,2.0,2.0,1.0,1.0
10040,AL,Acute Care Hospitals,Proprietary,1,1,2,2.0,1.0,1.0,1.0,1.0,1.0,2.0
10044,AL,Acute Care Hospitals,Voluntary non-profit - Private,1,1,5,2.0,,2.0,3.0,2.0,3.0,
10045,AL,Acute Care Hospitals,Voluntary non-profit - Other,1,1,4,2.0,,2.0,3.0,2.0,3.0,2.0
10046,AL,Acute Care Hospitals,Proprietary,1,1,3,2.0,3.0,2.0,1.0,2.0,2.0,2.0
10047,AL,Acute Care Hospitals,Proprietary,1,1,3,,,2.0,2.0,2.0,3.0,
10049,AL,Acute Care Hospitals,Proprietary,1,1,3,1.0,2.0,3.0,2.0,3.0,2.0,2.0
10051,AL,Acute Care Hospitals,Government - Local,0,1,3,2.0,,2.0,,2.0,3.0,
10052,AL,Acute Care Hospitals,Proprietary,1,1,3,2.0,,2.0,2.0,1.0,3.0,
10055,AL,Acute Care Hospitals,Proprietary,1,1,4,1.0,3.0,3.0,3.0,2.0,3.0,2.0
10058,AL,Acute Care Hospitals,Government - Hospital District or Authority,1,1,,,,,,2.0,2.0,
10059,AL,Acute Care Hospitals,Government - Hospital District or Authority,1,1,4,2.0,,2.0,,2.0,3.0,2.0
10061,AL,Acute Care Hospitals,Government - Hospital District or Authority,1,1,3,2.0,2.0,2.0,2.0,1.0,2.0,2.0
10062,AL,Acute Care Hospitals,Voluntary non-profit - Private,1,1,3,2.0,,2.0,2.0,1.0,3.0,
10065,AL,Acute Care Hospitals,Voluntary non-profit - Private,1,1,3,2.0,1.0,2.0,3.0,2.0,2.0,2.0
10069,AL,Acute Care Hospitals,Government - Hospital District or Authority,1,1,3,2.0,,2.0,2.0,2.0,3.0,2.0
10073,AL,Acute Care Hospitals,Government - Hospital District or Authority,1,1,3,2.0,,2.0,2.0,1.0,2.0,2.0
10078,AL,Acute Care Hospitals,Government - Local,1,1,2,2.0,1.0,3.0,2.0,2.0,2.0,2.0
10079,AL,Acute Care Hospitals,Government - Hospital District or Authority,1,1,2,2.0,2.0,1.0,2.0,2.0,3.0,1.0
10083,AL,Acute Care Hospitals,Proprietary,1,1,3,2.0,1.0,2.0,3.0,2.0,2.0,1.0
10085,AL,Acute Care Hospitals,Government - Hospital District or Authority,1,1,2,2.0,1.0,3.0,1.0,1.0,2.0,1.0
10086,AL,Acute Care Hospitals,Proprietary,1,1,4,2.0,2.0,2.0,3.0,2.0,3.0,2.0
10087,AL,Acute Care Hospitals,Government - State,1,1,3,2.0,2.0,1.0,3.0,2.0,1.0,1.0
10089,AL,Acute Care Hospitals,Voluntary non-profit - Private,1,1,3,2.0,3.0,2.0,1.0,2.0,3.0,2.0
10090,AL,Acute Care Hospitals,Voluntary non-profit - Church,1,1,2,1.0,1.0,2.0,1.0,2.0,2.0,1.0
10091,AL,Acute Care Hospitals,Government - Hospital District or Authority,1,1,3,2.0,,2.0,2.0,1.0,2.0,
10092,AL,Acute Care Hospitals,Government - Hospital District or Authority,1,1,2,1.0,2.0,1.0,2.0,2.0,1.0,3.0
10095,AL,Acute Care Hospitals,Government - Local,1,1,,,,,,1.0,2.0,
10097,AL,Acute Care Hospitals,Government - State,1,1,3,2.0,,2.0,2.0,2.0,3.0,
10099,AL,Acute Care Hospitals,Government - Hospital District or Authority,1,1,2,2.0,,2.0,2.0,2.0,3.0,1.0
10100,AL,Acute Care Hospitals,Government - Hospital District or Authority,1,1,4,2.0,2.0,3.0,3.0,2.0,2.0,1.0
10101,AL,Acute Care Hospitals,Voluntary non-profit - Private,1,1,3,2.0,,2.0,1.0,2.0,3.0,2.0
10102,AL,Acute Care Hospitals,Voluntary non-profit - Other,1,1,,,,,,2.0,2.0,
10103,AL,Acute Care Hospitals,Voluntary non-profit - Church,1,1,3,1.0,3.0,2.0,3.0,2.0,1.0,2.0
10104,AL,Acute Care Hospitals,Proprietary,1,1,2,1.0,1.0,2.0,3.0,2.0,3.0,2.0
10108,AL,Acute Care Hospitals,Government - Hospital District or Authority,1,1,4,2.0,2.0,3.0,3.0,2.0,1.0,2.0
10109,AL,Acute Care Hospitals,Government - Hospital District or Authority,1,1,3,2.0,,2.0,,1.0,2.0,
10110,AL,Acute Care Hospitals,Proprietary,1,1,3,2.0,,2.0,,2.0,3.0,
10112,AL,Acute Care Hospitals,Government - Hospital District or Authority,1,1,3,2.0,,2.0,1.0,2.0,2.0,2.0
10113,AL,Acute Care Hospitals,Voluntary non-profit - Private,1,1,2,2.0,1.0,1.0,3.0,2.0,1.0,1.0
10114,AL,Acute Care Hospitals,Government - Hospital District or Authority,1,1,3,2.0,2.0,3.0,1.0,2.0,3.0,2.0
10118,AL,Acute Care Hospitals,Proprietary,1,1,3,2.0,3.0,2.0,1.0,2.0,2.0,2.0
10120,AL,Acute Care Hospitals,Government - Local,1,1,3,2.0,,2.0,3.0,2.0,3.0,2.0
10125,AL,Acute Care Hospitals,Voluntary non-profit - Church,1,1,5,3.0,,3.0,2.0,2.0,3.0,2.0
10126,AL,Acute Care Hospitals,Government - Federal,1,1,3,2.0,2.0,2.0,2.0,2.0,3.0,2.0
10128,AL,Acute Care Hospitals,Proprietary,1,1,3,2.0,,2.0,,2.0,2.0,
10129,AL,Acute Care Hospitals,Voluntary non-profit - Private,1,1,2,2.0,,1.0,2.0,2.0,2.0,
10130,AL,Acute Care Hospitals,Voluntary non-profit - Private,1,1,3,2.0,2.0,1.0,3.0,2.0,3.0,1.0
10131,AL,Acute Care Hospitals,Proprietary,1,1,3,1.0,3.0,2.0,2.0,2.0,2.0,2.0
10138,AL,Acute Care Hospitals,Voluntary non-profit - Other,1,1,,,,,,2.0,2.0,
10139,AL,Acute Care Hospitals,Proprietary,1,1,3,2.0,2.0,2.0,1.0,2.0,2.0,2.0
10144,AL,Acute Care Hospitals,Proprietary,1,1,2,2.0,1.0,2.0,1.0,2.0,2.0,1.0
10146,AL,Acute Care Hospitals,Proprietary,1,1,3,2.0,,2.0,2.0,2.0,2.0,1.0
10148,AL,Acute Care Hospitals,Proprietary,1,1,3,2.0,,2.0,3.0,2.0,2.0,2.0
10149,AL,Acute Care Hospitals,Government - Hospital District or Authority,1,1,5,2.0,3.0,3.0,3.0,2.0,1.0,2.0
10150,AL,Acute Care Hospitals,Proprietary,1,1,3,2.0,2.0,2.0,2.0,2.0,3.0,2.0
10157,AL,Acute Care Hospitals,Government - Hospital District or Authority,1,1,3,2.0,2.0,2.0,1.0,2.0,2.0,1.0
10158,AL,Acute Care Hospitals,Proprietary,1,1,3,2.0,2.0,1.0,2.0,2.0,3.0,2.0
10164,AL,Acute Care Hospitals,Voluntary non-profit - Other,1,1,3,2.0,1.0,2.0,2.0,2.0,2.0,2.0
10168,AL,Acute Care Hospitals,Government - State,1,1,4,,3.0,2.0,3.0,2.0,2.0,
10169,AL,Acute Care Hospitals,Government - Hospital District or Authority,1,1,4,2.0,,2.0,3.0,2.0,3.0,
11300,AL,Critical Access Hospitals,Proprietary,1,1,,,,,,2.0,3.0,
11302,AL,Critical Access Hospitals,Government - Hospital District or Authority,1,1,,,,2.0,,,,
11304,AL,Critical Access Hospitals,Voluntary non-profit - Private,1,1,,,,,,,2.0,
11305,AL,Critical Access Hospitals,Voluntary non-profit - Private,0,1,3,2.0,,2.0,3.0,2.0,2.0,
13300,AL,Childrens,Voluntary non-profit - Private,1,1,,,,,,,,
13301,AL,Childrens,Government - State,1,1,,,,,,,,
20001,AK,Acute Care Hospitals,Voluntary non-profit - Church,1,1,3,2.0,1.0,3.0,2.0,2.0,1.0,2.0
20006,AK,Acute Care Hospitals,Voluntary non-profit - Private,1,1,3,2.0,2.0,2.0,1.0,2.0,2.0,2.0
20008,AK,Acute Care Hospitals,Government - Local,1,1,3,2.0,2.0,2.0,2.0,2.0,2.0,
20012,AK,Acute Care Hospitals,Voluntary non-profit - Other,1,1,3,2.0,1.0,3.0,3.0,2.0,2.0,2.0
20017,AK,Acute Care Hospitals,Proprietary,1,1,3,2.0,1.0,3.0,2.0,2.0,2.0,
20018,AK,Acute Care Hospitals,Tribal,1,1,3,2.0,,2.0,1.0,,,
20026,AK,Acute Care Hospitals,Government - Federal,1,1,2,2.0,1.0,2.0,1.0,1.0,,
21303,AK,Critical Access Hospitals,Government - Local,1,1,,,,,,,,
21306,AK,Critical Access Hospitals,Voluntary non-profit - Church,1,1,,,,2.0,,,,
21308,AK,Critical Access Hospitals,Tribal,1,3,,,,,,,,
21309,AK,Critical Access Hospitals,Voluntary non-profit - Private,1,1,,,,,,,,
21310,AK,Critical Access Hospitals,Tribal,1,1,,,,,,,,
21311,AK,Critical Access Hospitals,Voluntary non-profit - Church,1,1,3,,,2.0,2.0,2.0,2.0,
21314,AK,Critical Access Hospitals,Voluntary non-profit - Private,1,3,,,,,,,,
30001,AZ,Acute Care Hospitals,Proprietary,1,1,2,2.0,2.0,2.0,1.0,2.0,2.0,
30002,AZ,Acute Care Hospitals,Voluntary non-profit - Other,1,1,3,2.0,2.0,2.0,2.0,2.0,1.0,2.0
30006,AZ,Acute Care Hospitals,Voluntary non-profit - Private,1,1,3,2.0,3.0,3.0,1.0,2.0,1.0,2.0
30007,AZ,Acute Care Hospitals,Voluntary non-profit - Private,1,1,4,2.0,2.0,3.0,3.0,2.0,2.0,3.0
30010,AZ,Acute Care Hospitals,Voluntary non-profit - Private,1,1,3,2.0,3.0,3.0,1.0,3.0,1.0,2.0
30011,AZ,Acute Care Hospitals,Voluntary non-profit - Other,1,1,3,1.0,3.0,3.0,1.0,2.0,1.0,2.0
