provider_id,value
50234,  .861872
50235, 1.011867
50236,  .958862
50239, 1.034092
50242,  .996297
50245, 1.052529
50248, 1.018729
50254,  .881729
50261,  .977438
50262,  .986975
50272,  .936757
50276,  .948754
50278, 1.020129
50279,  .864238
50280,  .990919
50281, 1.193174
50283,  .975705
50289,  .974667
50290,  .938180
50291,  .933282
50292,  .973753
50295, 1.046219
50296,  .863962
50298, 1.035427
50300,  .983242
50301,  .889687
50305, 1.022525
50308,  .997069
50309,  .955077
50313,  .978712
50315, 1.027962
50320, 1.120217
50324,  .997345
50327,  .991348
50329, 1.112678
50334,  .990298
50335,  .833562
50336,  .946993
50342,  .937074
50348,  .968636
50350, 1.070547
50351,  .951940
50352,  .864591
50353,  .971569
50357,  .953871
50359,  .962565
50360, 1.002541
50367,  .957408
50373,  .906043
50376,  .950107
50378, 1.030061
50380,  .997130
50382, 1.099234
50390, 1.027694
50393, 1.124258
50394,  .976947
50396,  .985862
50397,  .741707
50407,  .873925
50411,  .765998
50414,  .914599
50417,  .838306
50423,  .994858
50424,  .927466
50425,  .835298
50426, 1.045884
50438,  .980550
50441,  .987080
50444,  .931369
50454,  .973494
50455, 1.006333
50457,  .956868
50468, 1.284723
50471, 1.041719
50481, 1.018800
50488, 1.051240
50492,  .971725
50496,  .956636
50502, 1.005951
50503,  .979658
50510,  .751549
50512,
50515,  .793625
50517,  .995467
50523,  .928713
50528,  .850235
50534, 1.031500
50537,  .894752
50543, 1.096669
50551, 1.114497
50552,  .789510
50561,  .871668
50567,  .964535
50568,  .944235
50573,  .949917
50575, 1.395667
50580, 1.149368
50586,  .891197
50588, 1.112972
50590,  .853309
50597, 1.076500
50599,  .933724
50604,  .817583
50608,  .947742
50616, 1.019180
50624,  .989991
50625, 1.025698
50636, 1.007124
50641, 1.091135
50663, 1.294885
50674,  .823101
50677,  .876005
50678, 1.026484
50684, 1.016987
50686,  .914526
50688,  .976554
50690,  .882190
50696,  .955430
50701,  .990376
50704, 1.175923
50708,  .875018
50710,  .861261
50714,  .931351
50723,  .817569
50724,  .944509
50726,  .889014
50735, 1.281544
50736, 1.010444
50738, 1.262768
50739, 1.034525
50742, 1.082744
50744, 1.166062
50745, 1.232876
50747, 1.330919
50748,  .858014
50754,  .904216
50755, 1.057781
50757, 1.067957
100073, 1.083874
100075, 1.049826
100077, 1.034077
100080, 1.051515
100081, 1.092487
100084, 1.024672
100086, 1.044951
100087, 1.062966
100088, 1.033887
100090,  .984530
100092, 1.019775
100093, 1.009487
100099, 1.034911
100102, 1.055954
100105, 1.068299
100106,  .978554
100107, 1.072379
100109, 1.024675
100110, 1.008482
100113, 1.033438
100117, 1.019129
100118, 1.005399
100121,  .990949
100122,  .982834
100124,  .965063
100125, 1.073092
100126, 1.108409
100127, 1.045183
100128, 1.011601
100130,  .989305
100131, 1.057383
100132, 1.025985
100135, 1.032969
100137,  .991238
100140,  .925280
100142, 1.028734
100150,  .960843
100151,  .965613
100154, 1.047083
100156, 1.037762
100157, 1.002997
100161, 1.026047
100166, 1.071640
100167, 1.043329
100168, 1.048104
100173, 1.102351
100175, 1.013096
100176, 1.040207
100177,  .987666
100179, 1.066227
100180, 1.085999
100181, 1.072310
100183, 1.108877
100187, 1.101222
100189, 1.054271
100191, 1.058930
100200, 1.079294
100204,  .996782
100206, 1.010252
100209,  .992006
100211, 1.076093
100212, 1.027643
100213, 1.053341
100220, 1.028568
100223, 1.004896
100224, 1.110120
100228, 1.087145
100230,  .982554
100231, 1.004116
100234, 1.078065
100236, 1.051212
100240,
100242, 1.067520
100243, 1.011144
100246, 1.064373
100248, 1.121891
100249, 1.068972
100253, 1.018646
100254, 1.023843
100256, 1.025052
100258, 1.112324
100259, 1.016012
100264, 1.039771
100265, 1.067918
100267,  .993005
100268, 1.081038
100269, 1.045142
100276, 1.053548
100277,  .890189
100281, 1.021646
100285, 1.051835
100286,  .948204
100288, 1.110487
100289,  .953372
100290, 1.005362
100292,  .966912
100296, 1.040931
100302, 1.052013
100307,  .969227
100313,  .973444
100315,  .989027
100316, 1.021917
100319, 1.009976
100321,  .967085
100322,  .870241
90005,  .935729
90008, 1.053617
90011, 1.024467
100001, 1.011932
100006, 1.011165
100007, 1.020480
100008,  .992404
100012, 1.017411
